timestamp,datastream_id,value
2013-03-17 19:12:43+00,mains_t00-1,337.88
2013-03-17 19:12:44+00,mains_t00-1,339.43
2013-03-17 19:12:45+00,mains_t00-1,340.63
2013-03-17 19:12:46+00,mains_t00-1,338.8
2013-03-17 19:12:47+00,mains_t00-1,340.88
2013-03-17 19:12:48+00,mains_t00-1,338.77
2013-03-17 19:12:49+00,mains_t00-1,340.19
2013-03-17 19:12:50+00,mains_t00-1,340.21
2013-03-17 19:12:51+00,mains_t00-1,338.49
2013-03-17 19:12:52+00,mains_t00-1,341.33
2013-03-17 19:12:53+00,mains_t00-1,338.54
2013-03-17 19:12:54+00,mains_t00-1,340.2
2013-03-17 19:12:55+00,mains_t00-1,339.69
2013-03-17 19:12:56+00,mains_t00-1,338.31
2013-03-17 19:12:57+00,mains_t00-1,339.99
2013-03-17 19:12:58+00,mains_t00-1,337.84
2013-03-17 19:12:59+00,mains_t00-1,339.14
2013-03-17 19:13:00+00,mains_t00-1,340.06
2013-03-17 19:13:01+00,mains_t00-1,338.56
2013-03-17 19:13:02+00,mains_t00-1,339.82
2013-03-17 19:13:03+00,mains_t00-1,338.17
2013-03-17 19:13:04+00,mains_t00-1,337.73
2013-03-17 19:13:05+00,mains_t00-1,342.73
2013-03-17 19:13:06+00,mains_t00-1,339.35
2013-03-17 19:13:07+00,mains_t00-1,339.36
2013-03-17 19:13:08+00,mains_t00-1,340.63
2013-03-17 19:13:09+00,mains_t00-1,338.87
2013-03-17 19:13:10+00,mains_t00-1,341.54
2013-03-17 19:13:11+00,mains_t00-1,340.08
2013-03-17 19:13:12+00,mains_t00-1,339.84
2013-03-17 19:13:13+00,mains_t00-1,341.19
2013-03-17 19:13:14+00,mains_t00-1,338.56
2013-03-17 19:13:15+00,mains_t00-1,341.3
2013-03-17 19:13:16+00,mains_t00-1,341.45
2013-03-17 19:13:17+00,mains_t00-1,338.41
2013-03-17 19:13:18+00,mains_t00-1,341.04
2013-03-17 19:13:19+00,mains_t00-1,339.19
2013-03-17 19:13:20+00,mains_t00-1,339.04
2013-03-17 19:13:21+00,mains_t00-1,340.68
2013-03-17 19:13:22+00,mains_t00-1,337.66
2013-03-17 19:13:23+00,mains_t00-1,338.5
2013-03-17 19:13:24+00,mains_t00-1,339.69
2013-03-17 19:13:25+00,mains_t00-1,337.88
2013-03-17 19:13:26+00,mains_t00-1,338.55
2013-03-17 19:13:27+00,mains_t00-1,339.57
2013-03-17 19:13:28+00,mains_t00-1,337.34
2013-03-17 19:13:29+00,mains_t00-1,338.46
2013-03-17 19:13:30+00,mains_t00-1,338.1
2013-03-17 19:13:31+00,mains_t00-1,337.79
2013-03-17 19:13:32+00,mains_t00-1,340.58
2013-03-17 19:13:33+00,mains_t00-1,338.07
2013-03-17 19:13:34+00,mains_t00-1,337.81
2013-03-17 19:13:35+00,mains_t00-1,339.89
2013-03-17 19:13:36+00,mains_t00-1,337.42
2013-03-17 19:13:37+00,mains_t00-1,339.72
2013-03-17 19:13:38+00,mains_t00-1,339.31
2013-03-17 19:13:39+00,mains_t00-1,340.18
2013-03-17 19:13:40+00,mains_t00-1,339.96
2013-03-17 19:13:41+00,mains_t00-1,338.68
2013-03-17 19:13:42+00,mains_t00-1,337.72
2013-03-17 19:13:43+00,mains_t00-1,340.58
2013-03-17 19:13:44+00,mains_t00-1,337.4
2013-03-17 19:13:45+00,mains_t00-1,339.18
2013-03-17 19:13:46+00,mains_t00-1,339.02
2013-03-17 19:13:47+00,mains_t00-1,337.59
2013-03-17 19:13:48+00,mains_t00-1,340.52
2013-03-17 19:13:49+00,mains_t00-1,337.93
2013-03-17 19:13:50+00,mains_t00-1,337.76
2013-03-17 19:13:51+00,mains_t00-1,340.24
2013-03-17 19:13:52+00,mains_t00-1,337.87
2013-03-17 19:13:53+00,mains_t00-1,339.65
2013-03-17 19:13:54+00,mains_t00-1,340.15
2013-03-17 19:13:55+00,mains_t00-1,338.37
2013-03-17 19:13:56+00,mains_t00-1,340.01
2013-03-17 19:13:57+00,mains_t00-1,339.01
2013-03-17 19:13:58+00,mains_t00-1,338.26
2013-03-17 19:13:59+00,mains_t00-1,342.14
2013-03-17 19:14:00+00,mains_t00-1,338.26
2013-03-17 19:14:01+00,mains_t00-1,339.73
2013-03-17 19:14:02+00,mains_t00-1,339.92
2013-03-17 19:14:03+00,mains_t00-1,338.97
2013-03-17 19:14:04+00,mains_t00-1,341.45
2013-03-17 19:14:05+00,mains_t00-1,339.09
2013-03-17 19:14:06+00,mains_t00-1,338.6
2013-03-17 19:14:07+00,mains_t00-1,340.64
2013-03-17 19:14:08+00,mains_t00-1,338.27
2013-03-17 19:14:09+00,mains_t00-1,340.04
2013-03-17 19:14:10+00,mains_t00-1,339.84
2013-03-17 19:14:11+00,mains_t00-1,338.34
2013-03-17 19:14:12+00,mains_t00-1,340.54
2013-03-17 19:14:13+00,mains_t00-1,338.3
2013-03-17 19:14:14+00,mains_t00-1,338.72
2013-03-17 19:14:15+00,mains_t00-1,339.82
2013-03-17 19:14:16+00,mains_t00-1,336.97
2013-03-17 19:14:17+00,mains_t00-1,339.72
2013-03-17 19:14:18+00,mains_t00-1,338.75
2013-03-17 19:14:19+00,mains_t00-1,338.03
2013-03-17 19:14:20+00,mains_t00-1,341.41
2013-03-17 19:14:21+00,mains_t00-1,338.37
2013-03-17 19:14:22+00,mains_t00-1,339.33
2013-03-17 19:14:23+00,mains_t00-1,340.78
